"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Halorhabdus sp. CBA1104",7,108,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorhabdus","sp. CBA1104"
"Halorhabdus tiamatea",5,196,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorhabdus","tiamatea"
"Halorhabdus utahensis",9,207,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorhabdus","utahensis"
"Halorientalis sp. IM1011",6,152,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorientalis","sp. IM1011"
"Halosiccatus urmianus",9,238,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosiccatus","urmianus"
"Halosimplex litoreum",10,260,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosimplex","litoreum"
"Halosimplex pelagicum",9,375,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosimplex","pelagicum"
"Halosimplex rubrum",9,402,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halosimplex","rubrum"
"Natronomonas halophila",6,126,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","halophila"
"Natronomonas moolapensis",7,102,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","moolapensis"
"Natronomonas pharaonis",4,74,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","pharaonis"
"Natronomonas salina",10,266,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","salina"
"Haladaptatus pallidirubidus",10,240,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haladaptatus","pallidirubidus"
"Haladaptatus sp. PSR5",9,189,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haladaptatus","sp. PSR5"
"Haladaptatus sp. PSR8",13,286,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Haladaptatus","sp. PSR8"
"Halalkalicoccus jeotgali",11,190,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halalkalicoccus","jeotgali"
"Halanaeroarchaeum sulfurireducens",2,24,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halanaeroarchaeum","sulfurireducens"
"Halarchaeum sp. CBA1220",10,226,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halarchaeum","sp. CBA1220"
"Halobacterium hubeiense",9,457,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","hubeiense"
"Halobacterium litoreum",9,198,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","litoreum"
"Halobacterium noricense",6,285,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","noricense"
"Halobacterium sp. DL1",6,277,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","sp. DL1"
"Halobacterium sp. Gai3-17",7,127,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","sp. Gai3-17"
"Halobacterium sp. XZYJT26",7,120,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halobacterium","sp. XZYJT26"
"Halodesulfurarchaeum formicicum",7,126,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halodesulfurarchaeum","formicicum"
"Halorussus halophilus",6,230,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halorussus","halophilus"
"Halorussus sp. RC-68",7,148,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halorussus","sp. RC-68"
"Natranaeroarchaeum sulfidigenum",8,114,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natranaeroarchaeum","sulfidigenum"
"Salarchaeum japonicum",6,224,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Salarchaeum","japonicum"
"Salarchaeum sp. JOR-1",5,83,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Salarchaeum","sp. JOR-1"
"Halobellus limi",10,280,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Halobellus","limi"
"Haloferax alexandrinus",2,76,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax","alexandrinus"
"Haloferax gibbonsii",8,264,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax","gibbonsii"
"Haloferax mediterranei",8,184,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloferax","mediterranei"
"Halogeometricum borinquense",9,164,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Halogeometricum","borinquense"
"Haloplanus aerogenes",9,200,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloplanus","aerogenes"
"Haloplanus rallus",7,156,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloplanus","rallus"
"Haloplanus rubicundus",10,262,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloplanus","rubicundus"
"Haloprofundus sp. Gai1-5",9,188,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloprofundus","sp. Gai1-5"
"Haloprofundus sp. MHR1",7,140,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloprofundus","sp. MHR1"
"Haloprofundus sp. SEDH52",7,116,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloprofundus","sp. SEDH52"
"Haloprofundus sp. SQT7-1",9,150,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloprofundus","sp. SQT7-1"
"Haloquadratum walsbyi",4,58,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloquadratum","walsbyi"
"Halalkaliarchaeum desulfuricum",7,166,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halalkaliarchaeum","desulfuricum"
"Halobaculum halophilum",11,216,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halobaculum","halophilum"
"Halobaculum magnesiiphilum",8,346,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halobaculum","magnesiiphilum"
"Halobaculum roseum",6,233,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halobaculum","roseum"
"Halobaculum rubrum",10,196,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halobaculum","rubrum"
"Halobaculum salinum",12,322,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halobaculum","salinum"
"Halobaculum sp. CBA1158",8,195,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halobaculum","sp. CBA1158"
"Halolamina sp. CBA1230",8,232,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halolamina","sp. CBA1230"
"Halopenitus persicus",8,138,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halopenitus","persicus"
"Halorubrum ezzemoulense",6,99,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","ezzemoulense"
"Halorubrum lacusprofundi",8,288,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","lacusprofundi"
"Halorubrum salinarum",8,154,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","salinarum"
"Halorubrum sodomense",5,110,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","sodomense"
"Halorubrum sp. 2020YC2",4,91,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","sp. 2020YC2"
"Halorubrum sp. BOL3-1",4,72,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","sp. BOL3-1"
"Halorubrum sp. CBA1229",8,221,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","sp. CBA1229"
