"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Rhodocytophaga rosea",14,846,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Rhodocytophaga","rosea"
"Spirosoma aerolatum",15,672,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","aerolatum"
"Spirosoma aureum",15,755,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","aureum"
"Spirosoma endbachense",15,712,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","endbachense"
"Spirosoma montaniterrae",15,720,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","montaniterrae"
"Spirosoma pollinicola",15,723,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","pollinicola"
"Spirosoma radiotolerans",14,650,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","radiotolerans"
"Spirosoma rigui",15,864,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","rigui"
"Spirosoma sp. CJU-R4",15,850,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","sp. CJU-R4"
"Spirosoma sp. KCTC 42546",15,796,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","sp. KCTC 42546"
"Spirosoma sp. KCTC 72228",15,752,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","sp. KCTC 72228"
"Spirosoma sp. KUDC1026",15,676,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","sp. KUDC1026"
"Spirosoma sp. RHs26",15,604,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","sp. RHs26"
"Spirosoma taeanense",15,644,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","taeanense"
"Flammeovirga kamogawensis",13,428,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Flammeovirga","kamogawensis"
"Flammeovirga pectinis",14,537,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Flammeovirga","pectinis"
"Flammeovirga sp. MY04",12,490,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Flammeovirga","sp. MY04"
"Flammeovirga yaeyamensis",12,666,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Flammeovirga","yaeyamensis"
"Chryseolinea soli",15,1348,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","Chryseolinea","soli"
"Fulvivirga lutea",12,318,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","Fulvivirga","lutea"
"Fulvivirga sp. SS9-22",15,586,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","Fulvivirga","sp. SS9-22"
"Fulvivirga sp. SW1-E11",14,380,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","Fulvivirga","sp. SW1-E11"
"Fulvivirga sp. W9P-11",14,441,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","Fulvivirga","sp. W9P-11"
"Adhaeribacter radiodurans",14,580,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter","radiodurans"
"Adhaeribacter swui",14,446,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter","swui"
"Hymenobacter baengnokdamensis",15,603,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","baengnokdamensis"
"Hymenobacter busanensis",15,938,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","busanensis"
"Hymenobacter jejuensis",15,876,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","jejuensis"
"Hymenobacter nivis",15,918,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","nivis"
"Hymenobacter oligotrophus",15,702,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","oligotrophus"
"Hymenobacter qilianensis",15,774,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","qilianensis"
"Hymenobacter radiodurans",13,2105,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","radiodurans"
"Hymenobacter sedentarius",15,1148,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sedentarius"
"Hymenobacter sp. APR13",15,1409,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. APR13"
"Hymenobacter sp. BRD128",15,1026,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. BRD128"
"Hymenobacter sp. BRD67",14,448,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. BRD67"
"Hymenobacter sp. BT18",15,872,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. BT18"
"Hymenobacter sp. DG01",15,1230,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. DG01"
"Hymenobacter sp. DG25A",11,526,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. DG25A"
"Hymenobacter sp. DG25B",15,478,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. DG25B"
"Hymenobacter sp. HDW8",13,1408,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. HDW8"
"Hymenobacter sp. NBH84",15,1188,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. NBH84"
"Hymenobacter sp. PAMC 26554",15,966,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. PAMC 26554"
"Hymenobacter sp. PAMC 26628",15,972,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. PAMC 26628"
"Hymenobacter sp. S2-20-2",15,734,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. S2-20-2"
"Hymenobacter sp. TS19",15,760,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","sp. TS19"
"Hymenobacter swuensis",15,866,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","swuensis"
"Nibribacter ruber",15,1013,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Nibribacter","ruber"
"Pontibacter actiniarum",15,1164,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter","actiniarum"
"Pontibacter akesuensis",15,578,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter","akesuensis"
"Pontibacter korlensis",15,706,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter","korlensis"
"Pontibacter pudoricolor",15,472,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter","pudoricolor"
"Pontibacter russatus",15,1644,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter","russatus"
"Pontibacter sp. SGAir0037",15,773,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Pontibacter","sp. SGAir0037"
"Rufibacter radiotolerans",15,1024,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Rufibacter","radiotolerans"
"Rufibacter sp. DG15C",15,1401,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Rufibacter","sp. DG15C"
"Rufibacter tibetensis",15,708,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Rufibacter","tibetensis"
"Mangrovivirga cuniculi",13,356,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Mangrovivirgaceae","Mangrovivirga","cuniculi"
"Marivirga tractuosa",13,1294,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Marivirgaceae","Marivirga","tractuosa"
"Arcticibacterium luteifluviistationis",14,654,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Arcticibacterium","luteifluviistationis"
"Dyadobacter fermentans",15,1598,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Dyadobacter","fermentans"
"Dyadobacter sandarakinus",15,910,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Dyadobacter","sandarakinus"
"Dyadobacter sp. NIV53",15,650,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Dyadobacter","sp. NIV53"
"Fibrella aestuarina",15,1138,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Fibrella","aestuarina"
"Fibrella sp. ES10-3-2-2",15,776,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Fibrella","sp. ES10-3-2-2"
"Larkinella sp. IE-0392",15,646,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Larkinella","sp. IE-0392"
"Leadbetterella byssophila",15,783,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Leadbetterella","byssophila"
"Runella rosea",15,784,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Runella","rosea"
"Runella slithyformis",15,1234,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Runella","slithyformis"
"Runella sp. SP2",14,552,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Spirosomaceae","Runella","sp. SP2"
"Blattabacterium cuenoti",15,3368,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Blattabacteriaceae","Blattabacterium","cuenoti"
"Blattabacterium punctulatus",4,177,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Blattabacteriaceae","Blattabacterium","punctulatus"
"Blattabacterium sp. (Blattella germanica)",2,21,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Blattabacteriaceae","Blattabacterium","sp. (Blattella germanica)"
"Blattabacterium sp. (Mastotermes darwiniensis)",4,54,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Blattabacteriaceae","Blattabacterium","sp. (Mastotermes darwiniensis)"
"Blattabacterium sp. DPU",4,46,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Blattabacteriaceae","Blattabacterium","sp. DPU"
"Crocinitomix sp. GM2_3_6_6",13,340,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Crocinitomix","sp. GM2_3_6_6"
"Fluviicola taffensis",14,504,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Fluviicola","taffensis"
"Aegicerativicinus sediminis",14,458,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aegicerativicinus","sediminis"
"Aequorivita sp. H23M31",11,396,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","sp. H23M31"
"Aequorivita sublithincola",14,567,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","sublithincola"
"Aggregatimonas sangjinii",12,252,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aggregatimonas","sangjinii"
"Algibacter alginicilyticus",14,442,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","alginicilyticus"
"Algibacter sp. L1A34",13,276,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","sp. L1A34"
"Algibacter sp. L3A6",12,311,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","sp. L3A6"
"Amniculibacterium sp. G2-70",15,894,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Amniculibacterium","sp. G2-70"
"Antarcticibacterium arcticum",11,316,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Antarcticibacterium","arcticum"
"Antarcticibacterium flavum",14,445,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Antarcticibacterium","flavum"
"Antarcticibacterium sp. 1MA-6-2",13,325,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Antarcticibacterium","sp. 1MA-6-2"
"Aquimarina sp. AD1",11,343,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina","sp. AD1"
"Aquimarina sp. AD10",13,426,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina","sp. AD10"
"Aquimarina sp. BL5",14,471,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina","sp. BL5"
"Aquimarina sp. TRL1",13,410,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina","sp. TRL1"
"Arenibacter algicola",14,433,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Arenibacter","algicola"
"Capnocytophaga canimorsus",15,664,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","canimorsus"
"Capnocytophaga cynodegmi",11,319,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","cynodegmi"
"Capnocytophaga endodontalis",12,330,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","endodontalis"
"Capnocytophaga gingivalis",15,744,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","gingivalis"
"Capnocytophaga haemolytica",15,955,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","haemolytica"
"Capnocytophaga leadbetteri",12,592,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","leadbetteri"
"Capnocytophaga ochracea",11,605,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"Capnocytophaga sp. FDAARGOS_737",14,579,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sp. FDAARGOS_737"
"Capnocytophaga sp. H2931",3,127,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sp. H2931"
"Capnocytophaga sp. H4358",7,263,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sp. H4358"
"Capnocytophaga sp. oral taxon 323",4,129,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sp. oral taxon 323"
"Capnocytophaga sp. oral taxon 864",4,107,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sp. oral taxon 864"
"Capnocytophaga sp. oral taxon 878",14,504,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sp. oral taxon 878"
"Capnocytophaga sp. oral taxon 902",6,147,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sp. oral taxon 902"
"Capnocytophaga sputigena",15,1176,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","sputigena"
"Capnocytophaga stomatis",12,357,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","stomatis"
"Cellulophaga algicola",10,203,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","algicola"
"Cellulophaga baltica",8,271,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","baltica"
"Cellulophaga lytica",10,333,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","lytica"
"Cellulophaga sp. HaHa_2_95",2,73,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","sp. HaHa_2_95"
"Cellulophaga sp. HaHaR_3_176",12,417,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","sp. HaHaR_3_176"
"Cellulophaga sp. L1A9",9,330,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cellulophaga","sp. L1A9"
"Changchengzhania lutea",13,316,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Changchengzhania","lutea"
"Constantimarinum furrinae",13,196,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Constantimarinum","furrinae"
"Costertonia aggregata",13,576,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Costertonia","aggregata"
"Croceibacter atlanticus",13,326,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Croceibacter","atlanticus"
"Dokdonia donghaensis",4,118,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","donghaensis"
"Dokdonia sp. 4H-3-7-5",8,202,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","sp. 4H-3-7-5"
"Dokdonia sp. Dokd-P16",6,133,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","sp. Dokd-P16"
"Dokdonia sp. MED134",4,139,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","sp. MED134"
"Dokdonia sp. PRO95",7,157,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","sp. PRO95"
"Euzebyella marina",13,640,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Euzebyella","marina"
"Flagellimonas sp. CMM7",12,266,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flagellimonas","sp. CMM7"
"Flagellimonas sp. HMM57",14,358,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flagellimonas","sp. HMM57"
"Flavivirga eckloniae",13,486,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavivirga","eckloniae"
"Flavobacterium album",15,758,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","album"
"Flavobacterium alkalisoli",12,391,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","alkalisoli"
"Flavobacterium anhuiense",14,648,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","anhuiense"
"Flavobacterium arcticum",12,286,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","arcticum"
"Flavobacterium branchiophilum",14,678,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","branchiophilum"
"Flavobacterium columnare",9,331,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","columnare"
"Flavobacterium commune",12,354,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","commune"
"Flavobacterium covae",10,466,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","covae"
"Flavobacterium crassostreae",9,194,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","crassostreae"
"Flavobacterium crocinum",14,490,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","crocinum"
"Flavobacterium davisii",14,418,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","davisii"
"Flavobacterium endoglycinae",14,417,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","endoglycinae"
"Flavobacterium faecale",13,397,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","faecale"
"Flavobacterium fluviale",12,389,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","fluviale"
"Flavobacterium gilvum",14,511,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gilvum"
"Flavobacterium haoranii",13,636,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","haoranii"
"Flavobacterium indicum",11,403,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","indicum"
"Flavobacterium inviolabile",15,733,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","inviolabile"
"Flavobacterium johnsoniae",15,720,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","johnsoniae"
"Flavobacterium jumunjinense",14,13492,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","jumunjinense"
"Flavobacterium kingsejongi",13,353,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","kingsejongi"
"Flavobacterium magnum",13,416,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","magnum"
"Flavobacterium nackdongense",14,422,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","nackdongense"
"Flavobacterium nitrogenifigens",13,416,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","nitrogenifigens"
"Flavobacterium oreochromis",14,511,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","oreochromis"
"Flavobacterium pallidum",15,612,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","pallidum"
"Flavobacterium psychrophilum",12,429,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","psychrophilum"
"Flavobacterium sangjuense",13,441,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sangjuense"
"Flavobacterium sediminis",12,817,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sediminis"
"Flavobacterium sp. 140616W15",12,337,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. 140616W15"
"Flavobacterium sp. CECT 9288",7,226,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. CECT 9288"
"Flavobacterium sp. CHNK8",6,265,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. CHNK8"
"Flavobacterium sp. CJ74",15,544,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. CJ74"
"Flavobacterium sp. CLA17",13,521,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. CLA17"
"Flavobacterium sp. CS20",12,263,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. CS20"
"Flavobacterium sp. F-29",13,477,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. F-29"
"Flavobacterium sp. F-323",13,506,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. F-323"
"Flavobacterium sp. F-340",12,357,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. F-340"
"Flavobacterium sp. F-70",14,379,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. F-70"
"Flavobacterium sp. GENT11",4,223,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. GENT11"
"Flavobacterium sp. GENT5",8,186,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. GENT5"
"Flavobacterium sp. HJ-32-4",15,950,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. HJ-32-4"
"Flavobacterium sp. I3-2",13,2924,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. I3-2"
"Flavobacterium sp. KBS0721",13,419,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. KBS0721"
"Flavobacterium sp. KK2020170",12,641,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. KK2020170"
"Flavobacterium sp. KSM-R2A25",10,396,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. KSM-R2A25"
"Flavobacterium sp. KSM-R2A30",11,521,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. KSM-R2A30"
"Flavobacterium sp. LPB0248",10,254,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. LPB0248"
"Flavobacterium sp. M31R6",14,489,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. M31R6"
"Flavobacterium sp. MDT1-60",14,822,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","sp. MDT1-60"
